pid,condition,r1_orig1,r1_util1,r2_orig1,r2_util1,r1_orig2,r1_util2,r2_orig2,r2_util2,avg_orig1,avg_util1,avg_orig2,avg_util2,total_orig,total_util,percentile_orig,percentile_util
14,green,4,4,4,4,4,3,4,4,4,4,4,3.5,8,7.5,0.914,0.914
32,green,4,2,4,2,4,3,4,4,4,2,4,3.5,8,5.5,0.914,0.51
39,green,4,3,4,3,4,4,4,4,4,3,4,4,8,7,0.914,0.808
45,green,4,3,4,3,4,3,4,3,4,3,4,3,8,6,0.914,0.574
58,green,4,4,4,4,4,4,4,4,4,4,4,4,8,8,0.914,0.957
13,blue,3,3,4,3,4,3,4,3,3.5,3,4,3,7.5,6,0.808,0.574
19,green,4,4,4,4,4,3,3,3,4,4,3.5,3,7.5,7,0.808,0.808
20,green,4,3,4,4,3,3,4,3,4,3.5,3.5,3,7.5,6.5,0.808,0.744
41,blue,4,4,4,3,4,4,3,3,4,3.5,3.5,3.5,7.5,7,0.808,0.808
47,green,4,3,4,4,4,3,3,3,4,3.5,3.5,3,7.5,6.5,0.808,0.744
24,green,4,4,4,4,3,3,3,3,4,4,3,3,7,7,0.765,0.808
51,blue,4,4,3,4,4,4,3,4,3.5,4,3.5,4,7,8,0.765,0.957
7,green,3,3,4,3,3,3,3,2,3.5,3,3,2.5,6.5,5.5,0.574,0.51
21,blue,3,3,3,3,3,3,4,3,3,3,3.5,3,6.5,6,0.574,0.574
31,blue,3,2,3,3,4,2,3,2,3,2.5,3.5,2,6.5,4.5,0.574,0.297
33,blue,3,1,3,2,3,2,4,2,3,1.5,3.5,2,6.5,3.5,0.574,0.148
43,green,3,1,3,1,3,2,4,3,3,1,3.5,2.5,6.5,3.5,0.574,0.148
44,blue,3,3,3,3,3,3,4,3,3,3,3.5,3,6.5,6,0.574,0.574
46,blue,4,1,3,1,3,4,3,4,3.5,1,3,4,6.5,5,0.574,0.382
49,blue,4,4,3,4,4,4,2,4,3.5,4,3,4,6.5,8,0.574,0.957
52,blue,3,3,2,3,4,3,4,3,2.5,3,4,3,6.5,6,0.574,0.574
26,blue,3,3,3,4,3,3,3,3,3,3.5,3,3,6,6.5,0.468,0.744
28,green,3,3,3,3,3,4,3,4,3,3,3,4,6,7,0.468,0.808
36,blue,3,2,3,2,3,3,3,3,3,2,3,3,6,5,0.468,0.382
50,green,3,1,3,2,3,1,3,1,3,1.5,3,1,6,2.5,0.468,0
57,green,4,2,4,2,2,3,2,3,4,2,2,3,6,5,0.468,0.382
11,blue,3,1,3,2,3,1,2,1,3,1.5,2.5,1,5.5,2.5,0.319,0
12,green,3,3,3,3,3,3,2,3,3,3,2.5,3,5.5,6,0.319,0.574
30,blue,3,3,3,4,2,1,3,2,3,3.5,2.5,1.5,5.5,5,0.319,0.382
42,green,2,3,3,3,3,3,3,3,2.5,3,3,3,5.5,6,0.319,0.574
48,green,2,3,2,3,4,3,3,3,2,3,3.5,3,5.5,6,0.319,0.574
53,blue,3,1,2,1,3,3,3,3,2.5,1,3,3,5.5,4,0.319,0.234
55,blue,3,4,3,3,3,4,2,4,3,3.5,2.5,4,5.5,7.5,0.319,0.914
23,blue,2,1,2,2,3,2,3,3,2,1.5,3,2.5,5,4,0.212,0.234
27,green,2,1,3,2,2,1,3,2,2.5,1.5,2.5,1.5,5,3,0.212,0.085
37,blue,3,3,2,2,3,1,2,1,2.5,2.5,2.5,1,5,3.5,0.212,0.148
38,green,3,2,3,2,2,2,2,3,3,2,2,2.5,5,4.5,0.212,0.297
56,green,3,2,3,2,2,3,2,2,3,2,2,2.5,5,4.5,0.212,0.297
8,blue,1,2,1,2,3,2,4,2,1,2,3.5,2,4.5,4,0.191,0.234
16,blue,1,3,1,3,3,2,3,3,1,3,3,2.5,4,5.5,0.127,0.51
34,green,2,1,3,1,2,2,1,2,2.5,1,1.5,2,4,3,0.127,0.085
40,blue,2,1,2,2,2,2,2,2,2,1.5,2,2,4,3.5,0.127,0.148
9,green,1,1,2,2,2,1,2,1,1.5,1.5,2,1,3.5,2.5,0.085,0
17,blue,2,1,2,2,2,2,1,1,2,1.5,1.5,1.5,3.5,3,0.085,0.085
10,blue,1,3,1,2,2,2,2,3,1,2.5,2,2.5,3,5,0.042,0.382
15,blue,1,3,1,2,2,2,2,3,1,2.5,2,2.5,3,5,0.042,0.382
18,green,1,1,2,2,1,1,1,1,1.5,1.5,1,1,2.5,2.5,0.021,0
25,blue,1,2,1,2,1,2,1,3,1,2,1,2.5,2,4.5,0,0.297